date,food,tobacco,alcohol,clothing,rent,power,household,health,purchase_vehicle,operation_vehicle,transport,communication,recreation,education,hotel,insurance,other,final_consumption
1/03/2012,21933,8557,4927,7116,48020,6683,9449,13772,4677,13144,9046,2953,23428,11772,16754,19176,14310,233117
1/06/2012,21977,8755,4858,7191,48212,6716,9568,14501,4973,13108,8973,2915,23442,11753,16235,19265,14350,234126
1/09/2012,21895,8677,4904,7129,48494,6362,9662,14829,5131,13189,8849,2873,23466,11832,16627,19215,14259,234790
1/12/2012,22261,8564,4886,7179,48747,6352,9610,14859,5353,13390,8842,2867,22823,11950,16426,19469,14226,235213
1/03/2013,22638,8565,4854,7285,49007,6263,9845,14937,5352,13563,8820,2948,22908,12067,16347,19102,14385,236472
1/06/2013,22804,8343,4867,7403,49201,6267,9951,14744,5369,13574,8761,3051,22786,12163,16467,19005,14542,237115
1/09/2013,22993,8461,4908,7568,49501,6249,10006,14847,5429,13567,8502,3165,22955,12211,16410,19907,14529,239107
1/12/2013,22861,8317,4808,7765,49744,6381,10020,15036,5492,13532,8343,3202,23126,12281,16475,20093,14681,240205
1/03/2014,23038,8339,4922,7671,50035,6217,10179,15343,5391,13474,8008,3367,23246,12360,17084,20310,14838,241969
1/06/2014,23010,7854,5016,7543,50241,6104,10323,15335,5485,13420,7878,3458,23681,12301,17462,20512,14863,242977
1/09/2014,23004,7678,5073,7698,50542,6260,10536,15405,5472,13492,8033,3575,24130,12403,17744,20485,15023,245203
1/12/2014,23143,7378,5139,7769,50781,6291,10714,15732,5526,13444,8013,3628,24318,12417,17797,20674,15080,246684
1/03/2015,23094,7316,5142,7874,51100,6298,10831,15605,5690,13411,8121,3723,24211,12402,17885,20887,15155,247674
1/06/2015,23363,7239,5024,8041,51339,6331,10990,15889,5829,13508,8036,3852,24240,12480,17671,20935,15309,249154
1/09/2015,23718,7186,5003,8194,51683,6390,11099,16106,5939,13372,8303,4012,24548,12524,17551,20956,15541,251342
1/12/2015,24044,6953,5093,8262,51934,6491,11117,16075,5909,13341,8001,4156,24830,12583,17755,20981,15553,252476
1/03/2016,24409,6837,5234,8451,52288,6410,11243,16058,5797,13334,8122,4290,24902,12707,17920,21303,15721,254531
1/06/2016,24318,6743,5220,8496,52559,6446,11192,16310,6000,13141,8185,4404,24821,12801,18200,21428,15801,255631
1/09/2016,24212,6539,5304,8617,52930,6541,11315,16472,5932,13271,8290,4536,24773,12868,18470,21819,15788,257334
1/12/2016,24532,6515,5291,8602,53191,6646,11544,16694,5959,13281,8544,4623,24870,12904,18145,22129,16020,259183
1/03/2017,24684,6540,5252,8573,53543,6737,11386,16867,6087,13498,8441,4686,25025,12915,18220,22091,15945,260178
1/06/2017,25033,6539,5324,8763,53821,6534,11611,17057,6042,13482,8396,4754,25126,12955,18364,22241,15970,261761
1/09/2017,25500,6503,5291,8904,54181,6667,11563,17026,6018,13600,8337,4792,25292,13094,18511,22358,16122,263528
1/12/2017,25449,6661,5383,8971,54419,6487,11724,17287,6054,13605,8542,4870,25844,13151,19201,22322,16276,266007
1/03/2018,25590,6606,5335,9134,54750,6598,11854,17477,6057,13645,8641,4928,26142,13250,19006,22339,16272,267432
1/06/2018,26012,6444,5422,9295,55039,6653,12079,17706,5981,13642,8693,5011,26364,13332,19130,22341,16443,269477
1/09/2018,26094,6326,5449,9356,55420,6613,12059,17789,5899,13516,8753,5047,26339,13330,19229,22250,16412,269797
1/12/2018,26207,6288,5399,9471,55653,6514,11932,18075,5833,13609,8745,5106,26319,13372,19284,22170,16528,270424
1/03/2019,26184,6174,5379,9421,55932,6647,11821,18236,5877,13626,8749,5147,26219,13420,19122,22079,16659,270627
1/06/2019,26346,6041,5395,9546,56182,6502,11882,18338,5648,13639,8839,5175,26440,13518,19416,22136,16739,271715
1/09/2019,26380,5798,5337,9576,56498,6532,11882,18486,5533,13625,8758,5209,26619,13567,19233,22025,16798,271789
1/12/2019,26374,5588,5371,9729,56688,6627,11990,18658,5383,13676,8755,5247,26821,13610,19298,21884,16867,272529
1/03/2020,27881,5373,5555,8847,56923,6638,12086,18372,5270,13172,7520,5337,26315,13666,17298,21726,16485,268470
1/06/2020,27070,5210,6266,7263,57165,6877,13292,14685,4325,9793,1079,5426,22032,13694,8386,21709,11534,235901
1/09/2020,28079,5130,6212,8836,57422,7276,13185,18358,4999,10820,1554,5503,24847,13810,12266,21873,13585,253755
1/12/2020,27629,4866,6177,10245,57670,6668,13341,19533,6602,12177,2009,5574,27215,13947,14443,22144,15280,265519
1/03/2021,27174,4798,5938,10161,57920,6456,13288,19476,6427,12428,2238,5681,28083,14000,16397,22445,15723,268633
1/06/2021,27016,4757,5853,10256,58173,7064,13281,19811,6890,12591,2775,5730,27872,14078,16797,22602,15877,271423
1/09/2021,28448,4699,6322,8051,58424,6991,12696,18381,6274,11001,1551,5807,24602,14155,13370,22829,14929,258531
1/12/2021,27820,4548,6226,11400,58687,6861,13694,19892,6103,12521,2450,5867,28893,14269,16806,23125,16294,275457
1/03/2022,27415,4446,6136,11900,58945,6709,13725,19533,6877,12644,4221,5964,30724,14348,18084,23393,16447,281512
1/06/2022,27081,4314,6304,12340,59206,6933,13594,20139,6582,13024,5794,6024,31837,14412,19684,23535,16771,287574
