date,cash_rate
1/01/2012,4.25
1/02/2012,4.25
1/03/2012,4.25
1/04/2012,4.25
1/05/2012,3.77
1/06/2012,3.54
1/07/2012,3.5
1/08/2012,3.5
1/09/2012,3.5
1/10/2012,3.27
1/11/2012,3.25
1/12/2012,3.03
1/01/2013,3
1/02/2013,3
1/03/2013,3
1/04/2013,3
1/05/2013,2.8
1/06/2013,2.75
1/07/2013,2.75
1/08/2013,2.55
1/09/2013,2.5
1/10/2013,2.5
1/11/2013,2.5
1/12/2013,2.5
1/01/2014,2.5
1/02/2014,2.5
1/03/2014,2.5
1/04/2014,2.5
1/05/2014,2.5
1/06/2014,2.5
1/07/2014,2.5
1/08/2014,2.5
1/09/2014,2.5
1/10/2014,2.5
1/11/2014,2.5
1/12/2014,2.5
1/01/2015,2.5
1/02/2015,2.28
1/03/2015,2.25
1/04/2015,2.25
1/05/2015,2.04
1/06/2015,2
1/07/2015,2
1/08/2015,2
1/09/2015,2
1/10/2015,2
1/11/2015,2
1/12/2015,2
1/01/2016,2
1/02/2016,2
1/03/2016,2
1/04/2016,2
1/05/2016,1.77
1/06/2016,1.75
1/07/2016,1.75
1/08/2016,1.52
1/09/2016,1.5
1/10/2016,1.5
1/11/2016,1.5
1/12/2016,1.5
1/01/2017,1.5
1/02/2017,1.5
1/03/2017,1.5
1/04/2017,1.5
1/05/2017,1.5
1/06/2017,1.5
1/07/2017,1.5
1/08/2017,1.5
1/09/2017,1.5
1/10/2017,1.5
1/11/2017,1.5
1/12/2017,1.5
1/01/2018,1.5
1/02/2018,1.5
1/03/2018,1.5
1/04/2018,1.5
1/05/2018,1.5
1/06/2018,1.5
1/07/2018,1.5
1/08/2018,1.5
1/09/2018,1.5
1/10/2018,1.5
1/11/2018,1.5
1/12/2018,1.5
1/01/2019,1.5
1/02/2019,1.5
1/03/2019,1.5
1/04/2019,1.5
1/05/2019,1.5
1/06/2019,1.28
1/07/2019,1.02
1/08/2019,1
1/09/2019,1
1/10/2019,0.76
1/11/2019,0.75
1/12/2019,0.75
1/01/2020,0.75
1/02/2020,0.75
1/03/2020,0.43
1/04/2020,0.25
1/05/2020,0.25
1/06/2020,0.25
1/07/2020,0.25
1/08/2020,0.25
1/09/2020,0.25
1/10/2020,0.25
1/11/2020,0.11
1/12/2020,0.1
1/01/2021,0.1
1/02/2021,0.1
1/03/2021,0.1
1/04/2021,0.1
1/05/2021,0.1
1/06/2021,0.1
1/07/2021,0.1
1/08/2021,0.1
1/09/2021,0.1
1/10/2021,0.1
1/11/2021,0.1
1/12/2021,0.1
1/01/2022,0.1
1/02/2022,0.1
1/03/2022,0.1
1/04/2022,0.1
1/05/2022,0.33
1/06/2022,0.73
1/07/2022,1.28
1/08/2022,1.81
1/09/2022,2.25
